#OTUId	62.AVI372_T	07.AVI413	54.AVI323_1	26.AVI335	40.AVI446_TA	66.AVI404_T	29.AVI420_T	41.AVI471_T	15.AVI440	63.AVI372_TA	68.AVI448_1	39.AVI446_T	02.AVI383	57.AVI352_2	36.AVI429_2	49.AVI355	03.AVI403	37.AVI434_T	65.AVI376_TA	21.AVI340	01.AVI369	70.AVI406_T	59.AVI354_2	58.AVI354_1	46.AVI332	60.AVI362_T	64.AVI376_T	55.AVI323_2	47.AVI349	11.AVI433	44.AVI327	33.AVI427_1	30.AVI420_TA	28.AVI390_2	48.AVI353	25.AVI334	24.AVI333	35.AVI429_1	69.AVI448_2	32.AVI422_TA	31.AVI422_T	45.AVI328	34.AVI427_2	12.AVI436	20.AVI339	38.AVI434_TA	16.AVI470	27.AVI390_1	19.AVI338	67.AVI409_T	13.AVI438	04.AVI408	14.AVI439	61.AVI362_TA	08.AVI414	56.AVI352_1	taxonomy
OTU_128	70	96	30	69	34	5	15	6	35	55	31	17	28	44	14	49	51	10	11	41	30	12	41	25	19	53	27	48	256	36	64	62	48	78	130	17	29	26	42	9	20	30	95	87	31	8	21	56	76	21	21	21	19	82	49	19	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Vampirovibrio;
OTU_289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria;
OTU_240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;
OTU_6	108	511	0	1557	255	244	250	0	217	65	391	167	870	1866	172	42	580	28	249	883	323	118	589	1172	36	463	319	7	477	198	1985	107	505	299	6	214	314	64	298	951	881	1037	183	548	682	10	148	354	27	0	191	982	144	559	2310	1597	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_229	0	18	10	9	9	1	5	1	12	0	0	5	7	8	13	12	8	0	1	13	41	4	2	4	22	0	0	20	8	1	9	6	14	2	0	0	13	3	1	8	6	14	9	10	20	3	20	9	4	0	14	31	10	0	3	12	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_7	46	1042	1506	246	1109	1036	712	9	39	103	228	1423	626	621	108	2026	1603	124	367	364	606	647	413	126	901	94	403	386	1734	14	1874	120	1502	490	618	405	652	122	124	71	151	390	191	151	1389	215	17	379	1570	13	95	133	68	172	94	355	Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma;
OTU_13	139	100	13	763	41	24	1	131	99	196	616	34	12	557	431	65	18	21	19	1456	440	66	1255	1693	764	218	8	54	173	2	1395	19	3	43	71	506	179	215	845	762	563	696	36	0	1369	133	87	52	124	30	202	5	63	201	476	580	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
OTU_820	148	13	35	44	5	11	0	0	0	159	8	18	4	33	7	18	14	1	6	35	55	6	52	80	16	0	16	105	320	1	9	4	9	22	0	4	22	7	3	58	76	23	19	3	0	0	138	25	1	18	18	5	5	0	14	41	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_544	13	46	29	14	3	102	0	23	33	8	3	6	119	387	6	630	1	2	21	35	33	68	361	849	1121	41	28	60	36	3	237	0	7	423	11	8	142	16	0	3	2	10	1	5	138	0	468	390	14	23	259	118	20	35	252	551	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium;
OTU_445	19	17	20	62	16	17	36	5	35	12	42	14	72	21	31	21	52	3	8	75	140	44	31	50	89	0	6	30	21	81	61	12	66	18	2	21	193	41	96	136	187	24	14	113	39	1	53	15	56	14	58	105	41	6	19	29	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_1853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;
OTU_92	35	83	0	361	1	3	1	4	14	18	0	4	11	93	15	14	103	0	0	312	754	9	3	14	7	1	3	0	1	2	49	5	0	0	0	131	166	22	0	3	16	5	8	6	635	0	265	1	15	0	8	715	0	0	48	148	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_14	297	321	777	1856	208	3	99	3	4	389	40	288	257	775	281	0	37	4	31	1514	1038	10	6	53	682	0	65	1675	2	151	18	676	204	161	108	586	1377	280	58	217	253	2	973	264	770	8	7	125	8	27	67	56	254	0	311	620	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_111	19	18	1	23	7	16	102	10	19	36	22	14	21	62	1	46	23	13	48	83	32	24	15	7	130	4	29	2	228	17	304	12	136	24	99	47	43	2	12	20	17	149	30	19	62	7	19	22	98	78	21	82	60	7	4	54	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_136	64	45	22	77	31	15	45	22	9	43	36	27	13	39	73	41	58	0	1	89	145	42	31	56	36	45	9	21	43	6	104	65	83	2	4	26	17	51	63	21	43	24	84	33	14	3	34	3	28	2	48	83	44	18	50	29	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_519	19	169	45	2	56	38	52	29	99	20	0	97	0	19	185	89	2	6	1	286	2	59	81	200	23	7	1	108	60	7	43	82	74	38	4	54	44	107	2	107	140	119	109	12	86	8	26	65	86	1	112	0	89	0	0	38	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
OTU_378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;;;;;
OTU_83	135	67	191	30	271	76	118	73	58	115	51	226	27	47	240	208	25	16	142	213	96	275	26	46	102	64	133	433	53	69	107	191	197	269	3	42	96	210	47	261	361	359	293	113	45	53	317	365	30	35	115	78	101	42	24	57	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_189	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	2	4	0	0	0	1	0	0	3	0	0	0	7	3	0	1	0	0	0	0	3	0	0	51	0	0	0	1	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;
OTU_151	2	402	0	0	3	4	123	0	9	0	28	16	2	0	8	75	1	0	12	0	6	35	0	0	0	0	8	0	0	59	0	7	104	1	0	0	0	1	13	18	65	0	17	2	0	0	78	0	0	0	208	109	171	0	47	0	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_incertae_sedis;
OTU_457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Gaiellales;Gaiellaceae;Gaiella;
OTU_458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
OTU_1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
OTU_52	29	113	9	1	114	134	179	0	24	46	165	124	0	1	403	2063	0	2	6	41	38	58	0	0	425	18	13	12	0	176	309	564	175	25	2	3	6	240	172	18	19	2	657	58	157	5	305	30	623	9	519	10	549	22	72	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella;
OTU_287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;;
OTU_71	61	45	95	94	36	85	35	5	54	34	89	16	107	75	122	362	64	1	11	428	370	123	100	246	113	29	8	100	121	101	131	60	43	57	8	78	112	110	148	57	126	133	62	26	71	16	179	108	40	1	220	266	101	37	19	132	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;
OTU_132	0	16	111	56	14	174	3	14	9	0	4	18	8	5	36	11	3	0	16	50	7	43	17	26	4	52	16	193	13	2	2	18	6	101	0	12	20	32	5	4	9	41	18	5	43	1	0	112	7	23	8	3	31	46	45	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
