#OTUId	62.AVI372_T	07.AVI413	54.AVI323_1	26.AVI335	40.AVI446_TA	66.AVI404_T	29.AVI420_T	41.AVI471_T	15.AVI440	63.AVI372_TA	68.AVI448_1	39.AVI446_T	02.AVI383	57.AVI352_2	36.AVI429_2	49.AVI355	03.AVI403	37.AVI434_T	65.AVI376_TA	21.AVI340	01.AVI369	70.AVI406_T	59.AVI354_2	58.AVI354_1	46.AVI332	60.AVI362_T	64.AVI376_T	55.AVI323_2	47.AVI349	11.AVI433	44.AVI327	33.AVI427_1	30.AVI420_TA	28.AVI390_2	48.AVI353	25.AVI334	24.AVI333	35.AVI429_1	69.AVI448_2	32.AVI422_TA	31.AVI422_T	45.AVI328	34.AVI427_2	12.AVI436	20.AVI339	38.AVI434_TA	16.AVI470	27.AVI390_1	19.AVI338	67.AVI409_T	13.AVI438	04.AVI408	14.AVI439	61.AVI362_TA	08.AVI414	56.AVI352_1	taxonomy
OTU_180	240	0	123	4	22	16	46	11	0	168	37	26	5	5	28	14	38	16	5	154	114	9	0	3	9	49	3	157	2	38	9	16	34	0	0	0	3	38	51	4	8	2	28	188	37	13	0	0	3	21	49	13	3	39	0	15	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_765	84	0	74	1619	0	5	0	0	0	101	0	0	205	44	0	24	15	0	1	456	106	60	208	340	113	6	1	194	589	0	78	0	1	207	24	27	104	0	0	5	5	121	0	0	79	0	0	162	37	12	0	0	0	6	81	79	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_929	107	0	54	2	7	1	7	5	0	64	13	12	1	2	13	1	4	9	2	46	49	0	0	0	6	15	1	58	2	17	2	4	10	0	0	0	1	10	26	2	1	1	6	58	12	4	0	0	0	9	18	6	1	27	0	3	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_1793	89	391	284	469	212	522	655	25	207	73	397	636	446	142	51	208	1604	84	56	875	231	399	197	59	904	97	102	139	1231	190	1264	91	497	128	1078	721	309	40	231	139	347	445	106	1154	564	72	585	116	38	72	210	824	421	127	126	122	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_39	96	97	108	333	265	170	403	235	13	89	8	580	61	198	0	7	376	552	139	614	32	70	5	8	14	26	133	38	472	43	157	27	499	190	0	98	123	0	12	7	9	107	58	155	80	537	10	212	181	11	1	154	32	86	35	162	Bacteria;;;;;;
OTU_549	41	241	0	15	88	8	19	1	80	25	38	90	487	94	119	306	48	0	15	47	2	30	67	143	60	1	12	1	1	501	20	17	43	83	4	1	22	73	61	410	544	1213	23	667	6	5	2	130	0	25	9	515	4	0	475	119	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_771	49	89	14	40	47	23	20	153	20	46	15	27	115	246	48	103	29	13	11	27	38	13	111	155	28	0	10	35	16	89	28	24	22	26	2	13	17	54	14	94	66	168	45	129	194	33	78	49	6	14	28	126	63	0	77	203	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_77	94	49	31	133	79	31	11	124	47	120	13	56	50	85	183	202	23	5	7	170	207	36	32	88	113	0	1	162	14	127	20	25	26	68	5	12	32	138	15	114	155	69	50	98	45	22	76	49	15	67	48	83	54	7	46	126	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_45	78	44	361	296	268	99	96	124	289	152	116	223	122	46	101	50	42	70	274	237	25	124	79	64	52	77	161	625	89	181	188	161	136	140	92	192	114	112	82	83	129	60	263	206	76	114	9	115	181	93	99	274	87	135	8	36	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_1207	25	16	63	47	38	26	17	75	13	20	22	19	15	23	98	74	4	34	26	55	64	64	73	105	256	8	26	59	6	21	12	17	24	79	6	10	99	104	65	13	32	18	45	27	38	17	38	97	80	30	28	54	21	21	31	29	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_1356	42	68	6	29	35	26	12	108	18	32	10	33	104	226	34	80	20	8	16	28	40	14	100	150	25	0	11	35	17	52	30	28	32	25	0	7	18	47	18	66	48	105	27	113	163	20	56	49	4	14	25	114	53	0	39	157	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_22	51	290	1373	8	345	579	586	1214	32	53	507	2449	75	40	94	14	127	575	114	124	8	757	383	216	42	18	276	174	268	139	8	58	300	28	306	3	1	136	270	106	540	0	35	49	10	1403	81	39	35	752	111	901	80	55	52	22	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
OTU_88	88	53	66	233	83	40	81	31	59	50	109	42	130	77	201	277	101	23	31	295	294	218	89	128	130	75	26	147	80	116	136	153	122	65	8	127	138	228	132	106	212	382	184	115	175	18	116	156	59	50	68	206	46	58	66	88	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_64	75	198	313	63	44	170	16	175	47	29	92	71	47	182	28	459	38	41	36	166	49	220	87	80	114	48	58	354	11	92	261	86	25	452	19	52	39	24	150	148	143	339	164	271	160	49	40	359	133	24	64	188	116	40	238	150	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_122	62	4	34	12	38	23	33	37	22	58	25	10	27	19	11	21	21	9	14	35	52	57	10	45	4	36	4	56	28	22	5	3	53	137	6	23	17	22	9	32	38	13	11	3	43	62	8	60	8	7	8	50	28	11	12	41	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_31	63	189	374	1160	78	49	66	61	71	118	46	46	298	181	82	133	208	48	136	442	122	88	154	125	143	320	107	544	482	121	718	145	81	757	87	800	208	80	43	174	175	739	219	388	158	115	122	1496	113	56	29	500	64	261	158	85	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_90	128	49	518	106	119	110	47	65	25	93	164	336	101	25	73	57	99	16	9	28	331	161	34	60	163	147	11	338	44	52	7	85	45	55	36	398	401	135	81	111	220	84	89	83	517	31	57	63	11	34	55	399	46	107	27	23	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_32	59	1	51	11	20	88	8	1103	23	74	32	73	3	57	83	67	4	556	873	25	11	588	237	52	2	221	971	57	497	8	59	32	8	71	552	5	5	187	32	39	52	21	63	26	60	1036	5	23	204	1268	1	10	7	369	9	36	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_60	44	47	613	87	119	138	51	214	99	58	96	365	7	61	33	193	2	65	235	95	88	200	144	39	0	172	380	299	353	2	146	194	55	21	1342	82	107	53	66	52	65	104	211	0	78	72	18	13	327	64	10	15	40	251	39	89	Bacteria;Firmicutes;;;;;
OTU_114	36	38	34	41	18	18	24	0	44	21	4	22	29	19	131	30	44	0	12	23	110	19	28	43	11	0	9	45	24	73	4	24	29	83	0	46	14	41	1	57	106	48	61	36	43	13	22	99	27	0	48	59	45	0	14	13	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_70	52	82	70	32	172	20	76	81	323	56	31	220	113	139	4	283	2	8	133	44	4	224	97	93	31	37	54	293	44	310	63	92	96	21	34	42	25	25	33	150	186	43	191	134	141	29	121	16	27	151	134	12	109	27	59	137	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
OTU_1054	44	25	17	29	36	14	9	11	4	26	56	55	15	39	25	28	35	10	8	13	191	14	19	33	58	28	7	30	32	32	11	5	20	26	4	218	160	16	53	16	51	37	7	36	92	24	23	34	6	0	7	13	11	19	15	30	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_78	53	67	308	70	99	125	211	103	16	33	56	280	82	13	30	20	112	37	17	163	29	85	115	34	194	5	18	76	174	38	90	23	117	41	123	12	59	51	32	43	130	12	35	69	93	41	23	53	55	68	47	232	10	35	42	8	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;;
OTU_143	88	10	0	0	0	0	0	0	0	129	0	0	0	0	5	0	0	8	8	388	0	19	0	0	0	0	4	0	0	358	2	13	0	12	0	0	0	5	0	78	98	340	5	837	0	26	0	12	3	15	0	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_62	59	22	405	45	120	83	48	230	60	28	85	359	242	31	44	130	113	51	180	83	25	420	113	57	162	19	245	245	236	59	36	50	26	103	381	67	71	97	26	68	124	62	60	456	222	99	43	50	83	7	37	62	142	35	13	16	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;
OTU_76	46	88	50	102	71	60	36	45	18	34	48	71	26	140	41	104	57	5	19	227	151	32	91	47	53	14	27	140	78	23	106	47	63	218	6	23	46	43	33	14	70	115	44	145	168	38	33	154	99	0	31	178	21	20	71	56	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_91	26	176	35	43	24	24	21	18	44	16	4	11	105	57	71	26	7	18	4	110	256	39	12	16	10	102	2	56	7	157	19	98	49	28	4	18	105	47	13	32	41	38	147	54	28	41	61	35	74	53	10	37	33	95	150	84	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_113	37	0	121	0	118	24	11	45	23	36	50	107	8	61	6	50	0	18	111	42	1	51	43	25	0	72	81	406	36	1	49	17	32	10	40	1	0	10	37	16	13	17	13	10	10	58	0	1	122	24	0	0	0	83	6	71	Bacteria;Proteobacteria;Deltaproteobacteria;;;;
OTU_48	36	197	1520	451	412	481	428	228	205	46	281	1435	71	315	113	329	140	108	119	333	357	393	362	154	306	339	148	1013	485	31	764	107	524	130	800	291	306	177	247	159	225	328	214	137	687	85	253	102	429	33	182	466	231	664	274	264	Bacteria;Candidatus Saccharibacteria;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
OTU_593	13	18	18	118	15	15	21	1	49	14	7	14	16	59	79	80	15	0	1	107	22	7	38	158	33	92	0	69	42	0	21	20	25	97	0	32	7	39	12	47	60	185	13	0	103	0	147	59	114	0	74	455	33	127	111	94	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_125	40	16	32	19	30	7	40	3	6	24	1	19	43	27	228	252	7	1	3	33	7	21	4	3	9	0	0	76	13	3	17	19	75	28	7	2	13	148	17	63	147	7	33	9	5	0	3	43	29	0	46	2	9	3	6	27	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_156	41	32	10	65	12	5	5	17	4	32	9	8	0	34	36	419	3	1	3	88	23	16	35	34	67	4	0	31	1	2	144	14	8	47	3	33	39	29	8	30	10	83	51	15	23	17	2	43	7	37	0	57	15	17	7	38	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa;
OTU_1290	16	2	0	2	0	3	4	2	1	7	2	0	7	5	20	12	5	0	0	4	17	2	0	5	10	10	0	0	4	8	5	5	5	6	0	4	2	17	8	11	12	6	7	7	15	1	5	3	4	0	3	18	5	0	3	8	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_829	19	38	124	53	189	79	61	165	87	27	73	546	323	19	13	38	308	108	178	80	25	194	67	25	33	54	179	160	97	38	68	19	98	13	643	44	38	20	80	136	176	61	50	149	95	192	111	4	93	358	16	91	87	212	9	21	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_138	44	45	37	102	58	11	33	2	54	20	33	52	148	40	77	196	81	1	29	89	94	77	30	45	127	40	16	110	24	71	32	37	50	69	6	71	72	88	24	94	111	212	49	112	129	5	33	170	14	17	35	106	12	29	13	66	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_121	29	11	168	7	65	71	32	105	6	9	26	129	28	1	9	13	55	101	19	10	5	94	22	3	34	14	46	7	52	13	27	7	33	8	43	26	42	13	9	21	58	22	6	18	36	211	11	0	5	74	6	71	21	8	18	6	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;;;
OTU_94	25	65	275	89	55	28	11	27	52	69	54	205	0	17	16	14	11	5	73	19	33	50	45	18	2	0	46	214	156	0	21	47	13	15	292	58	57	18	50	13	8	25	51	0	54	4	6	17	124	0	9	0	48	0	27	22	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_35	35	80	238	98	367	180	168	265	123	30	118	1061	592	42	26	59	680	240	354	180	55	393	173	34	57	133	341	297	216	75	166	45	235	37	1141	80	86	43	149	256	394	103	138	330	152	457	214	8	159	644	50	211	212	439	16	34	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_72	26	81	24	238	29	45	69	10	92	23	81	143	254	66	12	39	213	10	42	216	106	72	20	30	44	0	68	33	230	98	48	21	61	236	114	220	55	19	68	45	36	59	39	240	86	16	74	137	19	26	22	285	132	5	60	102	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_80	35	6	36	42	6	7	4	14	25	53	39	13	12	31	6	7	11	7	30	6	8	11	8	36	2	26	23	156	6	6	0	10	16	9	5	8	5	1	21	19	2	0	1	33	48	15	5	5	19	304	2	19	3	57	6	20	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;
OTU_1459	11	26	337	68	54	41	48	11	8	14	34	221	0	91	45	44	23	7	9	84	42	73	87	32	32	15	13	204	63	0	158	8	37	12	70	130	17	63	25	21	22	20	11	0	175	8	31	14	127	0	53	117	44	40	76	51	Bacteria;Candidatus Saccharibacteria;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
OTU_617	14	13	17	4	3	2	7	0	11	6	23	16	6	6	46	80	1	0	1	8	7	30	18	20	52	11	7	22	76	1	22	9	10	7	0	1	13	27	23	56	65	23	16	0	8	2	5	16	13	0	17	7	6	16	3	10	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_140	37	13	33	22	79	37	17	1	73	28	21	109	68	35	29	35	10	18	73	97	56	56	27	51	17	12	107	103	14	19	20	30	30	35	39	56	58	62	66	44	28	22	25	57	222	41	4	6	38	185	10	33	52	24	12	41	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_160	29	3	43	11	30	31	6	1	19	6	32	26	22	10	24	15	0	3	40	44	18	39	9	25	7	23	40	95	17	16	14	32	10	67	20	37	20	17	33	15	26	5	34	51	33	6	6	19	44	21	8	11	40	43	5	12	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_84	22	3	164	15	159	164	19	44	32	11	33	82	45	67	34	102	1	27	163	104	56	336	55	80	19	37	84	561	184	1	73	21	27	169	14	163	152	47	45	56	99	62	27	71	254	73	1	71	158	0	40	39	92	52	6	53	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_65	16	166	53	61	109	19	103	80	167	9	123	107	482	235	390	101	91	41	39	34	434	76	199	291	81	253	43	195	49	172	117	131	144	160	29	50	9	237	117	69	89	73	224	70	57	45	330	184	127	56	201	451	58	182	48	299	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_81	30	17	214	16	211	185	16	16	63	42	39	216	81	50	67	155	22	10	81	90	27	355	58	58	52	19	56	605	57	40	57	49	50	92	92	83	126	106	48	73	133	78	65	271	202	42	26	40	34	39	40	32	172	17	18	28	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_170	16	11	48	48	22	10	1	9	0	28	0	19	0	13	5	23	2	2	2	14	21	23	2	0	5	22	0	66	8	0	2	16	0	12	38	21	23	15	3	7	15	39	6	10	46	2	1	11	4	0	6	14	4	17	8	19	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_365	20	32	101	280	39	48	31	0	21	40	27	61	80	67	46	37	10	2	4	59	191	26	80	27	133	87	5	200	31	18	29	33	37	32	23	224	48	70	39	13	16	104	36	112	36	0	5	71	37	0	14	170	26	81	36	69	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_183	24	21	19	93	12	15	19	94	3	26	20	17	9	63	17	101	26	12	0	106	43	37	12	19	35	10	23	100	11	19	30	35	21	64	2	35	37	9	14	35	17	105	91	33	51	42	3	53	9	53	10	48	20	19	6	53	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_146	14	18	10	42	20	9	25	23	21	9	3	14	8	7	21	24	19	7	5	39	117	19	12	16	20	2	10	16	12	21	25	12	16	29	4	13	34	26	8	17	18	16	12	12	22	9	28	34	16	42	22	29	12	4	6	15	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_98	21	67	349	271	91	61	56	87	38	6	113	61	20	29	106	71	64	54	54	376	223	80	48	68	50	39	52	552	140	165	56	94	92	371	5	96	71	163	121	108	101	144	131	344	141	47	49	457	480	257	81	136	38	60	28	47	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_133	31	29	3	63	53	3	101	0	93	17	29	63	238	73	206	83	47	2	2	117	89	36	71	213	195	21	13	30	29	95	26	13	127	52	6	33	67	112	24	34	46	128	20	62	48	1	97	85	29	0	76	23	44	20	9	127	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_512	16	11	33	0	3	12	13	0	1	21	7	4	59	2	6	17	5	0	7	0	0	6	3	5	714	9	1	34	3	83	79	9	20	6	12	0	0	11	24	0	5	10	17	41	12	1	0	0	0	1	0	3	0	2	3	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_126	12	5	138	26	49	38	16	16	7	7	26	127	11	17	2	25	19	11	7	33	26	106	20	3	49	33	2	48	36	10	40	12	22	18	80	60	22	9	4	14	16	35	14	34	32	1	18	17	18	0	7	23	31	70	10	14	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_105	12	16	194	58	45	57	53	56	7	9	52	117	1	22	13	60	27	20	14	21	26	45	44	17	25	93	34	85	87	11	72	27	77	16	301	23	29	10	38	7	12	35	45	11	37	33	5	13	37	10	8	13	46	158	5	12	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_897	19	90	263	422	89	91	83	94	19	53	74	165	257	109	53	83	160	67	19	64	340	86	54	80	330	76	37	121	101	127	155	42	119	69	68	153	119	55	58	36	66	210	56	138	338	77	134	118	73	53	34	186	80	117	70	80	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_73	13	27	489	46	113	39	25	13	98	10	80	138	153	223	13	103	24	9	259	114	44	59	72	110	22	66	207	939	53	59	129	43	39	98	175	114	140	27	130	58	43	54	65	125	74	32	19	35	172	138	14	107	29	74	21	92	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_95	7	47	69	24	47	33	12	113	119	2	130	48	27	77	82	70	14	58	12	87	654	40	102	182	100	79	24	114	248	110	38	26	15	43	31	53	122	77	151	10	46	44	34	115	92	42	89	67	29	13	68	83	49	42	202	111	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;
OTU_134	15	21	97	122	80	36	11	77	40	11	45	211	255	44	82	89	60	10	6	51	100	43	116	202	163	281	24	39	78	25	62	22	24	20	19	94	106	125	47	7	38	87	55	50	182	15	40	50	44	0	24	92	51	183	67	13	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;
OTU_79	20	38	97	94	171	164	16	0	154	28	29	100	134	135	64	205	66	24	90	321	126	245	69	62	66	43	68	243	133	80	100	80	62	84	25	346	164	99	55	118	118	120	134	453	574	40	50	81	206	51	92	248	270	49	46	73	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_116	8	30	12	136	4	0	0	0	5	13	27	10	277	71	31	10	85	0	11	46	157	2	8	25	44	15	36	7	114	61	99	6	0	0	4	34	61	21	21	0	1	12	7	96	45	0	26	0	66	0	0	165	12	11	1	123	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_785	9	1	32	2	14	40	10	104	3	6	22	69	2	3	4	12	0	77	69	5	3	45	10	3	0	20	43	40	24	1	9	3	12	16	119	5	10	7	7	7	16	4	12	15	6	59	1	4	18	103	0	3	9	27	0	6	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;
OTU_106	11	1	43	4	28	15	2	451	11	16	8	65	5	33	4	115	5	239	216	4	22	32	67	18	2	49	302	25	39	5	4	9	4	54	163	11	18	12	6	1	13	5	10	14	7	237	8	22	76	76	2	10	6	46	4	12	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;;
OTU_168	13	15	47	133	29	20	11	95	15	8	16	31	49	9	31	29	27	32	7	25	24	28	9	15	34	50	7	98	12	21	14	2	55	8	14	62	51	35	25	15	40	11	9	98	26	21	38	22	19	1	31	28	11	34	1	2	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_477	17	27	18	113	36	7	17	5	26	7	18	17	121	6	94	48	56	3	1	30	75	62	26	22	74	20	3	62	36	28	9	49	20	19	1	38	36	104	8	26	38	92	60	37	69	2	18	32	16	18	48	28	20	29	15	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_176	14	7	76	84	9	14	16	28	4	3	26	4	23	21	24	99	9	2	12	56	62	27	27	33	279	31	17	175	2	9	24	14	10	71	8	47	98	31	44	38	41	26	25	25	52	11	18	73	17	1	6	12	3	46	7	15	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa;
OTU_194	14	13	9	23	15	15	22	3	33	8	22	15	46	30	94	85	19	4	15	113	92	30	27	45	25	11	15	56	31	30	19	41	40	32	0	30	38	76	60	26	52	88	53	15	45	4	48	38	41	6	41	65	23	10	12	53	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_144	10	1	319	29	19	68	6	84	40	0	20	53	13	49	5	72	8	5	156	49	6	91	48	31	28	0	78	447	70	8	64	21	13	35	26	71	88	14	30	35	36	35	40	37	77	11	7	21	54	1	23	9	76	5	6	51	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_107	5	18	8	16	43	22	2	2	86	4	13	28	78	49	55	34	2	1	0	51	151	4	25	68	6	19	0	17	0	16	18	37	1	2	0	2	11	40	16	2	3	41	42	289	5	2	22	4	2	1	50	376	132	12	6	68	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_96	11	35	267	231	71	9	6	2	162	8	49	38	176	29	15	30	427	0	98	276	183	94	48	89	172	0	154	513	68	44	26	27	7	64	45	362	671	22	100	178	97	178	19	151	467	2	86	43	43	24	132	258	343	15	42	20	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;
OTU_1496	8	1	20	9	11	3	4	1	5	7	8	19	3	13	1	13	0	0	5	7	23	4	13	13	5	16	8	80	10	7	8	5	9	23	13	2	0	0	7	3	8	4	2	16	10	0	8	15	26	0	5	9	6	20	7	9	Bacteria;Proteobacteria;Deltaproteobacteria;;;;
OTU_559	5	35	0	9	27	20	2	51	15	9	19	48	0	29	73	38	7	38	4	77	0	42	23	62	67	1	21	0	0	23	17	29	1	15	0	4	73	43	7	14	11	22	14	50	38	34	14	19	6	24	70	80	44	3	33	23	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;
OTU_20	12	1022	61	81	41	2	3	2	226	5	20	35	2038	59	656	2721	1	0	633	61	361	172	62	243	231	435	1049	85	1	1036	76	241	1	0	10	47	196	370	15	205	158	251	238	982	169	0	810	5	260	0	424	292	359	790	60	178	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_93	17	54	71	61	159	110	71	499	112	32	67	366	101	2	51	24	237	232	152	85	26	292	48	23	60	36	94	204	159	89	28	27	88	151	389	129	62	78	54	167	269	85	62	193	94	126	36	75	13	363	30	82	117	51	17	2	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;;;
OTU_162	14	166	16	109	14	19	9	31	11	5	46	6	0	163	94	197	14	3	3	233	110	57	70	138	144	5	5	41	2	26	71	40	31	104	6	34	35	83	46	60	85	71	38	24	49	12	12	126	36	17	5	44	9	0	43	264	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_171	8	15	8	8	17	11	14	4	12	5	1	9	30	23	22	28	2	7	3	40	23	8	5	21	13	8	9	33	0	23	10	20	6	17	3	7	35	20	7	17	9	30	17	33	13	14	6	13	14	7	22	26	7	0	14	32	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_393	9	22	108	270	56	12	19	6	42	7	76	53	75	13	37	5	114	6	9	15	35	65	1	4	158	5	8	390	44	51	16	35	32	35	1	31	3	73	42	18	19	162	49	39	19	29	15	33	3	0	41	141	14	0	48	18	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_220	16	2	2	1	21	33	0	4	6	9	15	26	3	1	13	17	1	1	7	17	22	20	4	5	2	11	5	24	6	1	2	9	0	2	1	37	44	19	21	5	30	3	22	19	44	5	7	1	8	0	5	29	26	41	0	5	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;;;
OTU_212	10	15	15	166	16	22	13	18	10	17	28	22	8	29	33	33	26	3	9	54	88	21	17	30	25	18	24	39	31	13	50	13	32	20	17	23	24	18	24	19	35	46	25	27	32	9	6	51	47	33	14	91	14	16	29	23	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_75	9	74	11	110	25	9	39	15	6	8	364	44	361	22	93	94	43	6	4	66	130	6	16	10	1764	6	17	45	39	12	29	24	41	65	6	95	52	69	409	50	53	69	64	55	54	1	157	71	13	13	18	453	11	1	19	35	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_87	19	3	147	12	42	147	31	518	17	24	27	282	9	32	20	54	15	324	283	16	3	208	51	7	10	81	163	145	125	8	60	26	24	73	472	17	31	23	67	49	64	5	60	52	14	314	12	33	100	439	5	20	24	128	8	23	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;
OTU_515	3	0	0	3	7	2	803	0	0	0	1023	6	0	0	30	0	0	4	0	13	0	42	0	0	0	0	0	0	0	0	468	1	1597	1	0	0	1	16	799	79	60	0	2	1	0	9	0	10	0	28	0	5	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_206	10	12	50	53	5	33	4	6	11	12	20	1	7	13	22	13	27	0	18	22	16	15	22	26	18	34	2	68	30	3	83	14	15	7	17	9	9	22	24	8	13	48	42	1	14	1	1	1	7	0	15	13	16	14	25	7	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
